customer_id,age,tenure_months,monthly_charges,total_charges,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,gender,churn
CUST00040,59,27,92.03640123657566,2555.728844463135,No,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,Female,1
CUST00041,45,34,88.52914825889347,1872.8345720929296,No,Yes,No,Yes,Yes,Yes,No,Two year,No,Bank transfer,Male,0
CUST00042,77,44,119.31521552233033,7032.426107899258,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,Female,0
CUST00043,33,68,20.660245686844537,6689.223116892728,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,Female,0
CUST00044,32,15,139.3086235425709,1853.4901853471,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer,Female,1
CUST00045,79,51,45.66834622184712,304.12970760174,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,Female,0
CUST00046,79,13,147.93545489741084,6440.170114030128,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Credit card,Female,1
CUST00047,64,49,115.71301323486009,4931.758271015044,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer,Male,0
CUST00048,79,70,120.65264920108724,825.0385838666084,No,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card,Female,0
CUST00049,68,56,105.30638744856886,4707.118485626783,No,No,Yes,No,No,No,No,Two year,No,Mailed check,Female,0
CUST00050,61,51,81.31621376207084,3628.41782918632,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card,Male,0
CUST00051,72,37,94.31160013695151,6200.911613240059,No,No,No,Yes,No,No,Yes,One year,No,Mailed check,Female,1
CUST00052,69,17,26.032375181966337,1688.4970404266655,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer,Female,0
CUST00053,74,58,101.11473622616185,3636.1908195541114,No,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,Female,0
CUST00054,20,29,101.39275325831608,1266.8280317302956,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,Female,1
CUST00055,54,33,135.85610366223523,7661.067277930556,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Mailed check,Female,1
CUST00056,68,60,85.73532646592852,6234.3304922628095,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Mailed check,Female,0
CUST00057,24,55,30.02876863118793,5899.044963481144,No,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card,Female,0
CUST00058,38,10,59.80546966267056,5527.849186865999,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,Male,0
CUST00059,26,47,105.23182357486127,3398.2248108817257,No,No,Yes,Yes,Yes,No,No,One year,Yes,Mailed check,Female,0
CUST00060,56,23,51.103652157690306,7387.793677311095,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,Female,1
CUST00061,35,21,56.46861684120212,601.877755177503,DSL,No,No,Yes,No,No,Yes,Two year,No,Electronic check,Female,0
CUST00062,21,13,126.66097212691095,6430.007391998036,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,Male,1
CUST00063,42,33,95.96156512915218,1737.5572022037468,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Mailed check,Female,1
CUST00064,77,24,86.10856613056443,2605.7430859581073,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,Female,1
CUST00065,31,11,61.39875568475456,4165.049237159121,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Credit card,Female,1
CUST00066,67,17,115.02064467129433,6265.586988223525,DSL,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer,Male,1
CUST00067,75,68,57.40339648370381,6711.508563076818,DSL,No,No,No,No,No,Yes,Two year,Yes,Bank transfer,Female,0
CUST00068,26,47,115.81825729374278,4678.1833562777965,DSL,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer,Male,0
CUST00069,43,25,29.113192434767463,3236.223201698788,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,Male,1
CUST00070,70,21,132.39037440567085,7573.089322797617,No,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,Female,1
CUST00071,19,12,84.94364023887127,1987.2399407981593,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer,Female,1
CUST00072,37,37,77.0060421708661,6428.69471552747,No,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card,Male,0
CUST00073,45,42,99.43304350045018,4904.155979156263,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,Female,1
CUST00074,64,17,101.14496947651516,3027.6222347440057,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,Male,1
CUST00075,77,48,37.16457299569942,30.91651522102367,No,No,No,No,No,No,Yes,One year,Yes,Credit card,Female,0
CUST00076,24,28,118.31036667610772,3583.862424762042,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,Male,0
CUST00077,61,41,55.87067873350818,2228.2255803875482,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,Male,0
CUST00078,78,47,137.6450444220888,852.6859743379737,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card,Female,0
CUST00079,25,18,126.32058624392822,619.7653513979171,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,Male,1
CUST00080,64,71,65.0145853995173,2793.5154519465837,Fiber optic,No,Yes,Yes,No,No,No,One year,Yes,Electronic check,Female,0
CUST00081,52,13,125.00610811609288,4925.763962150376,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card,Male,1
CUST00082,31,13,66.33076490898755,6703.404136610894,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,Male,1
CUST00083,34,31,33.12319861268528,1484.8346946796687,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,Female,1
CUST00084,53,2,145.04547103434203,3408.658891046216,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Mailed check,Male,1
CUST00085,67,16,104.83826197800721,3147.8099983343745,No,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,Male,1
CUST00086,57,9,79.29293846613692,4116.884193483955,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,Female,1
CUST00087,21,38,71.71053569903515,6480.506421060231,No,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,Male,0
CUST00088,19,54,62.21169345357432,4438.088839633894,No,No,No,Yes,No,Yes,Yes,One year,No,Credit card,Male,0
CUST00089,79,56,147.5881874057868,6776.306209748307,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card,Male,1
CUST00090,23,45,37.517144467017964,4158.043013430442,No,No,No,No,No,Yes,No,Two year,Yes,Bank transfer,Male,0
CUST00091,71,34,60.92465765967388,4838.7019741465465,No,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,Male,0
CUST00092,59,9,83.11469323674626,3510.318275094058,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Electronic check,Female,1
CUST00093,21,8,82.13994085706048,6588.3027307591565,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,Female,1
CUST00094,71,7,81.27764297301965,7392.141106789928,No,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,Female,1
CUST00095,46,36,42.85189605794964,5120.375010222702,No,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,Male,0
CUST00096,35,18,38.84122852423507,6569.843944399773,No,No,No,Yes,No,No,Yes,Two year,No,Mailed check,Female,0
CUST00097,43,3,53.119786222720606,490.8466053128203,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,Male,1
CUST00098,61,28,138.88839999426727,7250.771776544328,No,Yes,No,Yes,Yes,No,No,One year,No,Mailed check,Female,1
CUST00099,51,70,34.696885818486315,1527.6220333762142,DSL,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer,Female,0
CUST00100,27,44,118.46526343853222,2067.0330100599476,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,Male,1
CUST00101,79,21,118.48129110733827,445.57394428983497,DSL,No,Yes,Yes,No,No,No,Two year,No,Electronic check,Female,1
CUST00102,53,28,125.2701525066441,7723.892933452991,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Credit card,Male,1
CUST00103,31,54,135.26001356861622,6819.046578917243,No,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,Male,1
CUST00104,48,54,54.19470308006093,7307.213140646849,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Electronic check,Male,0
CUST00105,65,65,49.19273100495653,6780.78501872492,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,Male,0
CUST00106,32,21,80.51573664857236,3846.653810715885,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,Female,1
CUST00107,25,13,54.4615919377647,7394.173834044293,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,Male,0
CUST00108,31,57,115.46029856780397,7756.393107008963,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer,Male,1
CUST00109,40,49,102.67214497638638,4030.4844747793923,No,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card,Male,0
CUST00110,77,54,133.7483994468447,1421.4857550041288,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Electronic check,Male,1
CUST00111,74,10,30.755979453319306,5275.807621525493,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,Female,1
CUST00112,79,53,138.96083333654974,7803.997553031493,No,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,Male,0
CUST00113,57,44,58.13532146711164,6979.731941673822,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer,Female,0
CUST00114,38,47,83.79026497050792,6897.285105644342,DSL,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer,Female,0
CUST00115,33,53,77.01948667215368,7471.867774122111,No,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card,Male,0
CUST00116,62,46,118.8405146435751,7153.739039209326,No,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,Female,0
CUST00117,35,13,74.64333022613954,6214.727678865977,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card,Male,1
CUST00118,64,37,142.66190893442322,5751.817200651381,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,Male,1
CUST00119,70,24,137.3294047430148,2132.8420464831397,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer,Male,1
CUST00120,41,2,133.38094975603585,4978.293370999025,No,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,Female,1
CUST00121,43,14,29.263583244269626,4181.479201212998,No,Yes,Yes,No,Yes,No,No,Two year,Yes,Bank transfer,Male,0
CUST00122,42,10,131.05354800201212,6898.313850816309,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card,Female,1
CUST00123,77,35,121.61260790761736,3943.8663364507747,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,Male,1
CUST00124,77,25,33.45668311079703,1039.387253070659,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,Male,1
CUST00125,77,3,33.96386230670885,59.68043287234641,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,Male,1
CUST00126,62,17,33.15129549728035,5429.427501339948,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,Female,0
CUST00127,58,12,21.47323711658338,4408.268929274749,Fiber optic,No,Yes,No,No,No,No,Two year,No,Credit card,Male,0
CUST00128,46,54,91.32245967529586,2661.0839767804177,No,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,Female,0
CUST00129,32,24,146.54125788668563,1368.3977573023649,No,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,Male,1
CUST00130,62,29,77.02901137697316,3744.3882727831387,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer,Female,0
CUST00131,18,43,90.29847524535633,820.2860503816671,No,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,Male,0
CUST00132,42,25,145.83607358009422,2702.1457439847222,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card,Male,1
CUST00133,24,60,53.17368974064999,3046.1110117603625,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,Female,0
CUST00134,26,65,131.60113283777417,3735.637184806938,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer,Male,0
CUST00135,41,28,91.0307607375257,3743.6335956839976,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,Male,1
CUST00136,18,16,94.0319469061914,2070.9050349247323,No,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,Male,0
CUST00137,61,47,64.61260143694686,6804.683633183861,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Credit card,Female,0
CUST00138,25,58,93.00596692569806,2857.23717992883,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Bank transfer,Female,0
CUST00139,41,27,29.508526232176912,1852.1067249622804,No,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer,Female,0
CUST00140,28,53,119.40366443983459,1422.96286961651,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,Female,1
CUST00141,68,42,57.00940900075532,2594.175588136618,No,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,Male,0
CUST00142,34,59,135.38908283421415,559.0720061607243,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer,Male,0
CUST00143,25,47,67.82059029896959,282.60203338815387,No,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,Female,1
CUST00144,52,34,38.56713436329474,4849.034730486885,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,Male,0
CUST00145,52,37,110.46460466790305,4960.794145672537,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card,Female,1
CUST00146,50,6,41.39515881275537,4246.113857053551,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,Male,0
CUST00147,76,7,117.97846702058875,6103.03585794916,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,Female,1
CUST00148,22,25,145.85459073279515,332.4213433310823,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card,Female,1
CUST00149,59,33,121.34187294338403,7489.065403511552,No,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card,Female,0
CUST00150,56,55,22.91840229607221,778.6196835913429,No,Yes,No,Yes,No,No,No,Two year,No,Electronic check,Male,0
CUST00151,75,58,97.98515244686071,5398.7034952608765,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card,Female,0
CUST00152,58,7,110.40338722606415,1084.5047797476582,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer,Female,1
CUST00153,45,57,127.30958235351707,7041.645357796183,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,Male,0
CUST00154,24,12,27.28030016207002,4095.4920298213497,No,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,Male,1
CUST00155,26,16,82.41401763379722,676.7024573234488,DSL,No,Yes,No,No,No,No,Two year,No,Bank transfer,Male,1
CUST00156,25,43,89.59821344299127,4941.458419346587,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card,Female,0
CUST00157,29,7,41.986232143743145,92.6973521799692,No,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card,Male,1
CUST00158,51,51,61.918475262384455,6212.656983953152,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,Female,0
CUST00159,50,32,77.22882441330148,5211.668193436065,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,Male,1
CUST00160,65,8,128.3172594345142,1716.745499920788,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card,Female,1
CUST00161,72,45,140.8229835891269,3010.512311085228,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,Female,1
CUST00162,40,59,101.69496775929747,82.29742202134432,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,Female,1
CUST00163,79,4,71.34287418279007,5555.596843470216,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card,Male,1
CUST00164,41,67,53.024032313868176,2594.8917373275594,No,Yes,No,Yes,No,No,No,One year,No,Bank transfer,Female,0
CUST00165,54,29,147.67757397669956,4581.279544067819,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,Female,1
CUST00166,52,29,147.79259974992658,7654.686470757414,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Credit card,Female,1
CUST00167,61,28,140.2470032705545,2409.7443693217283,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,Male,1
CUST00168,57,44,122.1369894841165,7922.0983150167995,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,Male,1
CUST00169,39,4,62.35134068693037,5069.17252034038,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer,Male,1
CUST00170,44,9,126.21006285469198,1951.8675569583295,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card,Female,1
CUST00171,52,5,73.14309224525243,3505.4875065096367,No,No,Yes,No,Yes,No,No,One year,No,Credit card,Female,1
CUST00172,18,56,62.48050276015587,5928.815916621046,Fiber optic,Yes,No,No,Yes,No,Yes,One year,No,Mailed check,Male,0
CUST00173,52,50,116.83249660061634,3582.8937033109887,No,No,Yes,No,Yes,No,No,One year,No,Credit card,Female,0
CUST00174,54,15,30.355010590654977,566.6903873855881,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,Male,1
CUST00175,64,32,26.31315402843602,1365.457217832688,Fiber optic,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,Male,0
CUST00176,31,28,78.23398063355413,6334.556011355885,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,Male,0
CUST00177,20,22,77.93304410688106,5194.01714423013,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,Male,1
CUST00178,18,17,136.43373989829854,4567.207309110428,DSL,No,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,Male,1
CUST00179,22,59,36.39990251741618,1357.6233266281024,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Bank transfer,Male,0
CUST00180,43,71,36.02691056881366,6705.304413895708,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Credit card,Male,0
CUST00181,72,57,39.16883806173715,7686.7060744982755,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,Female,0
CUST00182,31,26,23.865713968298337,346.27903797554296,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card,Female,1
CUST00183,56,25,29.325125915938088,642.6943278177654,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer,Male,1
CUST00184,44,10,105.78308268777508,7080.101536450226,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,Female,1
CUST00185,26,45,76.1059627852762,6528.106987176384,No,Yes,Yes,No,No,No,No,Two year,No,Credit card,Male,0
CUST00186,32,11,119.26839872144177,4951.116954980123,No,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,Female,1
CUST00187,32,53,149.03770341561582,7560.82236770938,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,Male,0
CUST00188,43,68,105.67450854287017,5178.516012376185,No,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,Female,0
CUST00189,59,28,26.559224180616084,1743.5625003214366,No,Yes,Yes,No,No,Yes,Yes,Two year,No,Credit card,Male,0
CUST00190,77,65,33.5931724180644,5834.565743260863,No,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer,Female,0
CUST00191,30,49,134.530531025912,5172.768551070186,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,Male,1
CUST00192,68,47,88.574472792574,7886.242722040035,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,Male,0
CUST00193,49,52,127.2288307214462,1726.8879762708382,No,No,No,No,Yes,No,Yes,One year,No,Credit card,Female,0
CUST00194,56,54,131.3596037092404,4791.12179217354,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,Male,1
CUST00195,66,60,140.5976903949375,6245.736827356478,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,Male,1
CUST00196,69,57,143.47779671322755,2725.0850529186027,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,Male,0
CUST00197,78,47,92.12735354542981,3049.843073123937,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,Female,0
CUST00198,49,31,64.3326223932844,7105.456669859999,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,Female,0
CUST00199,21,46,145.0424336652398,3245.475139278873,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,Female,1
CUST00200,47,26,91.16283278015928,5005.368158127003,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Mailed check,Female,1
CUST00201,54,5,28.352853984099436,7116.120337464068,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,Female,1
CUST00202,40,52,103.56095150778245,1694.4161330626796,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer,Male,0
CUST00203,56,54,96.3990175513514,7855.380824893794,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,Male,0
CUST00204,62,33,136.45307347631177,5621.589201083199,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card,Female,0
CUST00205,32,50,104.91433459051562,3979.0511192487297,No,No,No,Yes,No,No,No,Two year,No,Credit card,Female,0
